STATION,DATE,LAT,LONG,WATER_DEPTH,NH4_water,UREA_N_water
ABUR,6/23/2016,34.23.79 N,119.44.60 W,1,0.05,1.3
ABUR,6/23/2016,34.23.79 N,119.44.60 W,7.5,0.05,1
ABUR,6/23/2016,34.23.79 N,119.44.60 W,14.5,0.33,1.6
MICR,6/28/2016,34.24.45 N,119.40.79 W,1,0.05,0.5
MICR,6/28/2016,34.24.45 N,119.40.79 W,7.5,0.05,0.5
MICR,6/28/2016,34.24.45 N,119.40.79 W,14.5,0.98,0.6
REFU,6/22/2016,34.27.43 N,120.04.20 W,1,0.09,2.2
REFU,6/22/2016,34.27.43 N,120.04.20 W,7.5,0.05,3.7
REFU,6/22/2016,34.27.43 N,120.04.20 W,14.5,0.2,2
MOHK,8/9/2016,34.23.25 N,119.43.68 W,1,0.31,0.61
MOHK,8/9/2016,34.23.25 N,119.43.68 W,2.5,0.36,0.63
MOHK,8/9/2016,34.23.25 N,119.43.68 W,4.5,0.36,0.61
MOHK,8/9/2016,34.23.40 N,119.43.72 W,1,0.16,0.57
MOHK,8/9/2016,34.23.40 N,119.43.72 W,3.5,0.32,0.58
MOHK,8/9/2016,34.23.40 N,119.43.72 W,6.5,0.57,0.96
MOHK,8/9/2016,34.23.58 N,119.43.79 W,1,0.06,0.58
MOHK,8/9/2016,34.23.58 N,119.43.79 W,5.5,0.57,0.68
MOHK,8/9/2016,34.23.58 N,119.43.79 W,10.5,0.71,0.61
MOHK,8/9/2016,34.23.49 N,119.43.80 W,1,0.02,0.45
MOHK,8/9/2016,34.23.49 N,119.43.80 W,6.5,0.08,0.92
MOHK,8/9/2016,34.23.49 N,119.43.80 W,12.5,0.93,0.57
MOHK,8/9/2016,34.23.40 N,119.43.80 W,1,0.07,0.52
MOHK,8/9/2016,34.23.40 N,119.43.80 W,7.5,0.2,0.48
MOHK,8/9/2016,34.23.40 N,119.43.80 W,14.5,0.65,0.57
